"New Bedford, MA",New Bedford Portuguese SDA Church,Pastor Fabiano Mendes,401-332-3466,fmendes@sneconline.org,https://newbedfordportuguesema.adventistchurch.org/,SDA Portuguese congregation (Igreja Adventista de New Bedford),,
"Fall River, MA",Fall River Portuguese SDA Church,Pastor Fabiano Ramos Mendes,508-675-2332 / 508-250-9578,fmendes@sneconline.org,https://fallriverportuguesema.adventistchurch.org/,Portuguese SDA community (eAdventist),,
"Saugus, MA",Family United Methodist Church – Brazilian Ministry,(n/a),(n/a),(n/a),https://www.umc.org/pt/find-a-church/church?id=001Um00000PFGhOIAX,UMC Portuguese ministry (The United Methodist Church),,
"Fall River, MA",Santo Christo Parish (Catholic),"Very Rev. Jeffrey Cabral, J.C.L.",(see parish office typical line),(n/a),(n/a),Portuguese Catholic parish (Wikipedia),,
"Falmouth, MA",Comunidade Brasileira Católica de Falmouth,Rev. Marcos V. Caldeira / Julia Fonseca,774-368-9007/508-524-7704,(n/a),https://falmouthcatholic.org/brasileira,Brazilian Catholic community (Paróquia São José Guardião da Família),,
,,,,,,,,
City,Church / Community,Contact Person,Phone,Email,Website,Notes / Source,,
"Natick, MA",New Covenant Christian Church,Hudson & Sandra de Oliveira,(n/a),(n/a),(n/a),Portuguese outreach (church planting network),,
"Framingham, MA",Spring of Life Christian Church,Pastor Wanderson Batista,(n/a),(n/a),(n/a),Brazilian planting church,,
"Worcester, MA",Worcester Portuguese SDA Church,Pastor Ricardo Coelho,508-267-1422,(n/a),https://worcesterportuguesema.adventistchurch.org/,Portuguese SDA ministry,,
"New Bedford, MA",New Bedford Portuguese SDA Church,Pastor Fabiano Mendes,401-332-3466,fmendes@sneconline.org,https://newbedfordportuguesema.adventistchurch.org/,SDA Portuguese congregation,,
"Fall River, MA",Fall River Portuguese SDA Church,Pastor Fabiano Ramos Mendes,508-675-2332 / 508-250-9578,fmendes@sneconline.org,https://fallriverportuguesema.adventistchurch.org/,Portuguese SDA community,,
"Saugus, MA",Family United Methodist Church – Brazilian Ministry,(n/a),(n/a),(n/a),https://www.umc.org/pt/find-a-church/church?id=001Um00000PFGhOIAX,UMC Portuguese ministry,,
"Fall River, MA",Santo Christo Parish (Catholic),"Very Rev. Jeffrey Cabral, J.C.L.",(use parish office number),(n/a),(n/a),Portuguese Catholic parish,,
"Falmouth, MA",Comunidade Brasileira Católica de Falmouth,Rev. Marcos V. Caldeira / Julia Fonseca,774-368-9007 /508-524-7704,(n/a),https://falmouthcatholic.org/brasileira,Brazilian Catholic community,,
,,,,,,,,
Church,City,Contact / Pastor,Phone,Email,Website,Source,,
Dorchester Portuguese SDA Church,"Dorchester, MA",Pastor Luiz Henrique Souza,203-546-0404,(n/a),https://dorchesterportuguesema.adventistchurch.org,(eadventist.com),,
Seekonk Portuguese SDA Church,"Seekonk, MA",Pastor Valter Da Silva Araujo,(no phone listed),seekonkchurch@mail.com,https://seekonkportuguesema.adventistchurch.org,(eAdventist),,
Brockton Portuguese SDA Church,"Abington / Brockton area, MA",(no pastor listed),508-426-2208,(n/a),https://brocktonportuguesema.adventistchurch.org,(eAdventist),,
Lancaster Brazilian SDA Church,"Lancaster, MA",Pastor Ricardo do Carmo Coelho,978-368-1441,(n/a),https://lancasterportuguesema.adventistchurch.org,(eAdventist),,
Boston Portuguese SDA Church,"Saugus, MA",Pastor João Luis Pallú,781-307-0445,(n/a),https://bostonportuguesema.adventistchurch.org,(eadventist.com),,
